"","Client ID","Cluster Number"
"1",1,7
"2",2,7
"3",3,4
"4",4,4
"5",5,2
"6",6,2
"7",7,7
"8",8,3
"9",9,8
"10",10,1
"11",11,2
"12",12,2
"13",13,7
"14",14,4
"15",15,8
"16",16,2
"17",17,3
"18",18,7
"19",19,4
"20",20,5
"21",21,2
"22",22,4
"23",23,2
"24",24,5
"25",25,4
"26",26,7
"27",27,7
"28",28,2
"29",29,7
"30",30,2
"31",31,7
"32",32,3
"33",33,2
"34",34,6
"35",35,7
"36",36,1
"37",37,4
"38",38,2
"39",39,2
"40",40,1
"41",41,5
"42",42,2
"43",43,3
"44",44,4
"45",45,2
"46",46,3
"47",47,2
"48",48,2
"49",49,2
"50",50,3
"51",51,7
"52",52,2
"53",53,3
"54",54,2
"55",55,7
"56",56,2
"57",57,8
"58",58,4
"59",59,7
"60",60,6
"61",61,2
"62",62,7
"63",63,6
"64",64,4
"65",65,2
"66",66,1
"67",67,4
"68",68,2
"69",69,2
"70",70,5
"71",71,2
"72",72,1
"73",73,8
"74",74,2
"75",75,7
"76",76,2
"77",77,1
"78",78,6
"79",79,4
"80",80,1
"81",81,2
"82",82,4
"83",83,7
"84",84,7
"85",85,4
"86",86,4
"87",87,2
"88",88,2
"89",89,2
"90",90,2
"91",91,2
"92",92,3
"93",93,8
"94",94,7
"95",95,5
"96",96,2
"97",97,7
"98",98,6
"99",99,2
"100",100,5
"101",101,3
"102",102,1
"103",103,7
"104",104,6
"105",105,1
"106",106,5
"107",107,2
"108",108,7
"109",109,7
"110",110,7
"111",111,6
"112",112,3
"113",113,2
"114",114,5
"115",115,3
"116",116,7
"117",117,3
"118",118,4
"119",119,1
"120",120,2
"121",121,3
"122",122,3
"123",123,1
"124",124,2
"125",125,2
"126",126,2
"127",127,3
"128",128,3
"129",129,2
"130",130,7
"131",131,4
"132",132,7
"133",133,2
"134",134,2
"135",135,2
"136",136,4
"137",137,6
"138",138,3
"139",139,2
"140",140,2
"141",141,2
"142",142,2
"143",143,4
"144",144,2
"145",145,2
"146",146,2
"147",147,2
"148",148,6
"149",149,8
"150",150,2
"151",151,7
"152",152,3
"153",153,8
"154",154,3
"155",155,7
"156",156,4
"157",157,2
"158",158,2
"159",159,7
"160",160,4
"161",161,2
"162",162,2
"163",163,6
"164",164,8
"165",165,7
"166",166,7
"167",167,6
"168",168,7
"169",169,7
"170",170,6
"171",171,5
"172",172,2
"173",173,2
"174",174,4
"175",175,2
"176",176,7
"177",177,2
"178",178,2
"179",179,2
"180",180,2
"181",181,3
"182",182,8
"183",183,6
"184",184,8
"185",185,7
"186",186,2
"187",187,2
"188",188,7
"189",189,8
"190",190,2
"191",191,3
"192",192,2
"193",193,2
"194",194,2
"195",195,6
"196",196,4
"197",197,7
"198",198,3
"199",199,7
"200",200,2
"201",201,7
"202",202,2
"203",203,4
"204",204,4
"205",205,2
"206",206,2
"207",207,7
"208",208,2
"209",209,2
"210",210,2
"211",211,2
"212",212,2
"213",213,8
"214",214,2
"215",215,4
"216",216,7
"217",217,5
"218",218,7
"219",219,2
"220",220,2
"221",221,8
"222",222,4
"223",223,6
"224",224,4
"225",225,1
"226",226,7
"227",227,7
"228",228,2
"229",229,3
"230",230,7
"231",231,8
"232",232,2
"233",233,5
"234",234,2
"235",235,2
"236",236,6
"237",237,1
"238",238,4
"239",239,2
"240",240,5
"241",241,2
"242",242,2
"243",243,2
"244",244,6
"245",245,2
"246",246,2
"247",247,7
"248",248,7
"249",249,4
"250",250,1
"251",251,2
"252",252,6
"253",253,4
"254",254,2
"255",255,4
"256",256,7
"257",257,1
"258",258,2
"259",259,7
"260",260,6
"261",261,7
"262",262,3
"263",263,7
"264",264,4
"265",265,4
"266",266,2
"267",267,7
"268",268,3
"269",269,3
"270",270,7
"271",271,6
"272",272,6
"273",273,4
"274",274,2
"275",275,4
"276",276,8
"277",277,3
"278",278,2
"279",279,3
"280",280,6
"281",281,3
"282",282,2
"283",283,6
"284",284,7
"285",285,6
"286",286,2
"287",287,2
"288",288,2
"289",289,4
"290",290,2
"291",291,7
"292",292,5
"293",293,3
"294",294,7
"295",295,2
"296",296,3
"297",297,4
"298",298,6
"299",299,7
"300",300,6
"301",301,8
"302",302,2
"303",303,2
"304",304,4
"305",305,2
"306",306,7
"307",307,2
"308",308,2
"309",309,5
"310",310,2
"311",311,2
"312",312,3
"313",313,2
"314",314,5
"315",315,3
"316",316,6
"317",317,7
"318",318,1
"319",319,4
"320",320,2
"321",321,2
"322",322,8
"323",323,7
"324",324,7
"325",325,7
"326",326,2
"327",327,2
"328",328,3
"329",329,3
"330",330,3
"331",331,6
"332",332,8
"333",333,8
"334",334,7
"335",335,7
"336",336,2
"337",337,2
"338",338,2
"339",339,2
"340",340,3
"341",341,7
"342",342,8
"343",343,7
"344",344,2
"345",345,7
"346",346,8
"347",347,2
"348",348,4
"349",349,7
"350",350,2
"351",351,1
"352",352,4
"353",353,7
"354",354,4
"355",355,2
"356",356,4
"357",357,6
"358",358,7
"359",359,3
"360",360,2
"361",361,8
"362",362,2
"363",363,2
"364",364,2
"365",365,2
"366",366,5
"367",367,4
"368",368,2
"369",369,7
"370",370,2
"371",371,5
"372",372,7
"373",373,2
"374",374,4
"375",375,8
"376",376,2
"377",377,2
"378",378,6
"379",379,2
"380",380,2
"381",381,2
"382",382,7
"383",383,2
"384",384,2
"385",385,2
"386",386,2
"387",387,4
"388",388,2
"389",389,7
"390",390,7
"391",391,4
"392",392,4
"393",393,2
"394",394,1
"395",395,3
"396",396,6
"397",397,2
"398",398,3
"399",399,7
"400",400,7
"401",401,2
"402",402,7
"403",403,7
"404",404,3
"405",405,2
"406",406,6
"407",407,2
"408",408,7
"409",409,3
"410",410,7
"411",411,4
"412",412,4
"413",413,5
"414",414,2
"415",415,2
"416",416,2
"417",417,4
"418",418,1
"419",419,5
"420",420,8
"421",421,2
"422",422,2
"423",423,8
"424",424,3
"425",425,7
"426",426,2
"427",427,4
"428",428,2
"429",429,7
"430",430,3
"431",431,7
"432",432,6
"433",433,8
"434",434,4
"435",435,7
"436",436,2
"437",437,1
"438",438,3
"439",439,2
"440",440,7
"441",441,6
"442",442,7
"443",443,3
"444",444,2
"445",445,7
"446",446,2
"447",447,8
"448",448,6
"449",449,7
"450",450,3
"451",451,1
"452",452,2
"453",453,7
"454",454,3
"455",455,4
"456",456,8
"457",457,2
"458",458,2
"459",459,6
"460",460,7
"461",461,2
"462",462,7
"463",463,5
"464",464,1
"465",465,4
"466",466,7
"467",467,7
"468",468,2
"469",469,3
"470",470,6
"471",471,5
"472",472,4
"473",473,4
"474",474,4
"475",475,5
"476",476,2
"477",477,8
"478",478,7
"479",479,2
"480",480,2
"481",481,2
"482",482,2
"483",483,2
"484",484,2
"485",485,3
"486",486,7
"487",487,2
"488",488,8
"489",489,7
