"","Client ID","Cluster Number"
"1",50001,7
"2",50002,2
"3",50003,2
"4",50004,8
"5",50005,2
"6",50006,2
"7",50007,7
"8",50008,7
"9",50009,5
"10",50010,7
"11",50011,1
"12",50012,5
"13",50013,2
"14",50014,2
"15",50015,2
"16",50016,3
"17",50017,7
"18",50018,7
"19",50019,7
"20",50020,5
"21",50021,8
"22",50022,3
"23",50023,2
"24",50024,2
"25",50025,2
"26",50026,2
"27",50027,2
"28",50028,2
"29",50029,2
"30",50030,3
"31",50031,5
"32",50032,6
"33",50033,6
"34",50034,2
"35",50035,3
"36",50036,5
"37",50037,3
"38",50038,7
"39",50039,7
"40",50040,8
"41",50041,7
"42",50042,7
"43",50043,7
"44",50044,2
"45",50045,7
"46",50046,2
"47",50047,7
"48",50048,6
"49",50049,6
"50",50050,6
"51",50051,5
"52",50052,4
"53",50053,2
"54",50054,2
"55",50055,2
"56",50056,2
"57",50057,4
"58",50058,2
"59",50059,8
"60",50060,8
"61",50061,7
"62",50062,5
"63",50063,7
"64",50064,2
"65",50065,1
"66",50066,7
"67",50067,3
"68",50068,2
"69",50069,7
"70",50070,1
"71",50071,3
"72",50072,6
"73",50073,5
"74",50074,2
"75",50075,3
"76",50076,2
"77",50077,7
"78",50078,3
"79",50079,8
"80",50080,2
"81",50081,4
"82",50082,2
"83",50083,5
"84",50084,2
"85",50085,6
"86",50086,2
"87",50087,7
"88",50088,4
"89",50089,2
"90",50090,2
"91",50091,6
"92",50092,2
"93",50093,7
"94",50094,3
"95",50095,7
"96",50096,7
"97",50097,3
"98",50098,6
"99",50099,7
"100",50100,5
"101",50101,2
"102",50102,6
"103",50103,8
"104",50104,8
"105",50105,2
"106",50106,7
"107",50107,7
"108",50108,2
"109",50109,2
"110",50110,2
"111",50111,7
"112",50112,7
"113",50113,2
"114",50114,3
"115",50115,7
"116",50116,7
"117",50117,7
"118",50118,2
"119",50119,2
"120",50120,2
"121",50121,2
"122",50122,1
"123",50123,2
"124",50124,2
"125",50125,3
"126",50126,8
"127",50127,2
"128",50128,2
"129",50129,4
"130",50130,3
"131",50131,8
"132",50132,7
"133",50133,8
"134",50134,7
"135",50135,2
"136",50136,2
"137",50137,7
"138",50138,2
"139",50139,6
"140",50140,2
"141",50141,2
"142",50142,7
"143",50143,7
"144",50144,2
"145",50145,8
"146",50146,7
"147",50147,5
"148",50148,7
"149",50149,2
"150",50150,2
"151",50151,7
"152",50152,6
"153",50153,3
"154",50154,5
"155",50155,2
"156",50156,2
"157",50157,7
"158",50158,4
"159",50159,6
"160",50160,2
"161",50161,2
"162",50162,3
"163",50163,3
"164",50164,2
"165",50165,2
"166",50166,7
"167",50167,7
"168",50168,3
"169",50169,1
"170",50170,2
"171",50171,6
"172",50172,3
"173",50173,7
"174",50174,2
"175",50175,7
"176",50176,7
"177",50177,4
"178",50178,5
"179",50179,2
"180",50180,2
"181",50181,2
"182",50182,6
"183",50183,7
"184",50184,3
"185",50185,2
"186",50186,3
"187",50187,1
"188",50188,2
"189",50189,2
"190",50190,2
"191",50191,4
"192",50192,3
"193",50193,4
"194",50194,3
"195",50195,2
"196",50196,4
"197",50197,2
"198",50198,2
"199",50199,2
"200",50200,2
"201",50201,7
"202",50202,7
"203",50203,8
"204",50204,7
"205",50205,2
"206",50206,4
"207",50207,5
"208",50208,4
"209",50209,3
"210",50210,2
"211",50211,2
"212",50212,4
"213",50213,1
"214",50214,3
"215",50215,2
"216",50216,3
"217",50217,5
"218",50218,4
"219",50219,2
"220",50220,4
"221",50221,2
"222",50222,6
"223",50223,6
"224",50224,7
"225",50225,4
"226",50226,5
"227",50227,2
"228",50228,2
"229",50229,7
"230",50230,6
"231",50231,7
"232",50232,6
"233",50233,7
"234",50234,7
"235",50235,7
"236",50236,2
"237",50237,7
"238",50238,2
"239",50239,1
"240",50240,3
"241",50241,7
"242",50242,6
"243",50243,2
"244",50244,6
"245",50245,2
"246",50246,4
"247",50247,4
"248",50248,2
"249",50249,2
"250",50250,3
"251",50251,2
"252",50252,7
"253",50253,2
"254",50254,3
"255",50255,6
"256",50256,6
"257",50257,5
"258",50258,2
"259",50259,7
"260",50260,8
"261",50261,7
"262",50262,8
"263",50263,4
"264",50264,2
"265",50265,2
"266",50266,4
"267",50267,7
"268",50268,3
"269",50269,2
"270",50270,2
"271",50271,2
"272",50272,2
"273",50273,7
"274",50274,2
"275",50275,2
"276",50276,4
"277",50277,3
"278",50278,7
"279",50279,2
"280",50280,7
"281",50281,2
"282",50282,2
"283",50283,5
"284",50284,2
"285",50285,6
"286",50286,3
"287",50287,7
"288",50288,6
"289",50289,7
"290",50290,4
"291",50291,8
"292",50292,3
"293",50293,7
"294",50294,6
"295",50295,6
"296",50296,2
"297",50297,2
